atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Pr', 'Pr', 'Pr', 'Pr', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['0.90732900', '0.44110200', '0.09267100', '0.55889800', '0.41619800', '0.58380200', '0.01072000', '0.80486300', '0.98928000', '0.19513700', '0.75711200', '0.15281700', '0.24288800', '0.84718300', '0.41521100', '0.15831500', '0.58478900', '0.84168500', '0.55958100', '0.34976300', '0.44041900', '0.65023700']","['0.55889800', '0.09267100', '0.44110200', '0.90732900', '0.58380200', '0.41619800', '0.19513700', '0.98928000', '0.80486300', '0.01072000', '0.84718300', '0.24288800', '0.15281700', '0.75711200', '0.84168500', '0.58478900', '0.15831500', '0.41521100', '0.65023700', '0.44041900', '0.34976300', '0.55958100']","['0.32624800', '0.17375200', '0.67375200', '0.82624800', '0.25000000', '0.75000000', '0.08743800', '0.41256200', '0.91256200', '0.58743800', '0.13238600', '0.36761400', '0.86761400', '0.63238600', '0.48010800', '0.01989200', '0.51989200', '0.98010800', '0.53309700', '0.96690300', '0.46690300', '0.03309700']"
"['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Ga', 'Ga']","['0.00000000', '0.50000000', '0.75000000', '0.00000000', '0.50000000', '0.25000000', '0.50000000', '0.00000000']","['0.50000000', '0.25000000', '0.00000000', '0.50000000', '0.75000000', '0.00000000', '0.50000000', '0.00000000']","['0.75000000', '0.00000000', '0.50000000', '0.25000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['Y', 'Y', 'Pt', 'Pt', 'Pt', 'Pt']","['0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']","['0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000']","['0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000']"
"['Sc', 'Al', 'Al', 'Al']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['Lu', 'Lu', 'Fe', 'Fe', 'Fe', 'Fe']","['0.50000000', '0.75000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.12500000', '0.62500000']"
"['Sm', 'B', 'B', 'Rh', 'Rh', 'Rh']","['0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000']"
"['Mg', 'Mg', 'Sn']","['0.25000000', '0.75000000', '0.00000000']","['0.25000000', '0.75000000', '0.00000000']","['0.25000000', '0.75000000', '0.00000000']"
"['Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.77604100', '0.27604100', '0.22395900', '0.72395900', '0.79002900', '0.29002900', '0.20997100', '0.70997100', '0.53414100', '0.03414100', '0.46585900', '0.96585900', '0.49813100', '0.99813100', '0.50186900', '0.00186900', '0.83438000', '0.33438000', '0.16562000', '0.66562000', '0.74706400', '0.24706400', '0.25293600', '0.75293600', '0.97224100', '0.47224100', '0.02775900', '0.52775900']","['0.45992000', '0.04008000', '0.54008000', '0.95992000', '0.58450300', '0.91549700', '0.41549700', '0.08450300', '0.72350300', '0.77649700', '0.27649700', '0.22350300', '0.27084000', '0.22916000', '0.72916000', '0.77084000', '0.91574900', '0.58425100', '0.08425100', '0.41574900', '0.75591000', '0.74409000', '0.24409000', '0.25591000', '0.45717300', '0.04282700', '0.54282700', '0.95717300']","['0.70712800', '0.29287200', '0.29287200', '0.70712800', '0.19731200', '0.80268800', '0.80268800', '0.19731200', '0.08734500', '0.91265500', '0.91265500', '0.08734500', '0.47115100', '0.52884900', '0.52884900', '0.47115100', '0.96131000', '0.03869000', '0.03869000', '0.96131000', '0.50831500', '0.49168500', '0.49168500', '0.50831500', '0.75917500', '0.24082500', '0.24082500', '0.75917500']"
"['Ho', 'Ni', 'Ni', 'P', 'P']","['0.00000000', '0.25000000', '0.75000000', '0.62248100', '0.37751900']","['0.00000000', '0.75000000', '0.25000000', '0.62248100', '0.37751900']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000']"
"['U', 'Ge', 'Ge', 'Ge']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']"
"['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']","['0.62500000', '0.62500000', '0.12500000', '0.62500000', '0.25000000', '0.00000000', '0.86756300', '0.85268800', '0.38243700', '0.38243700', '0.86756300', '0.86756300', '0.38243700', '0.39731200']","['0.62500000', '0.12500000', '0.62500000', '0.62500000', '0.25000000', '0.00000000', '0.86756300', '0.38243700', '0.38243700', '0.85268800', '0.86756300', '0.39731200', '0.38243700', '0.86756300']","['0.12500000', '0.62500000', '0.62500000', '0.62500000', '0.25000000', '0.00000000', '0.86756300', '0.38243700', '0.85268800', '0.38243700', '0.39731200', '0.86756300', '0.38243700', '0.86756300']"
"['Lu', 'As']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Ca', 'Ga', 'Ga', 'Ga', 'Ga']","['0.00000000', '0.59795400', '0.40204600', '0.76497400', '0.23502600']","['0.00000000', '0.59795400', '0.40204600', '0.23502600', '0.76497400']","['0.00000000', '0.77005600', '0.22994400', '0.50000000', '0.50000000']"
"['Y', 'Y', 'Cu', 'Cu', 'Cu', 'Cu']","['0.21021700', '0.78978300', '0.38526500', '0.61473500', '0.21434400', '0.78565600']","['0.46021700', '0.53978300', '0.83546000', '0.16454000', '0.16454000', '0.83546000']","['0.75000000', '0.25000000', '0.54980500', '0.45019500', '0.04980500', '0.95019500']"
"['U', 'U', 'U', 'U', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.91922800', '0.58077200', '0.08077200', '0.41922800', '0.22376200', '0.27623800', '0.77623800', '0.72376200', '0.61024800', '0.88975200', '0.38975200', '0.11024800', '0.76577200', '0.73422800', '0.23422800', '0.26577200', '0.23422800', '0.26577200', '0.76577200', '0.73422800', '0.08348200', '0.41651800', '0.91651800', '0.58348200', '0.91651800', '0.58348200', '0.08348200', '0.41651800']","['0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.59316400', '0.90683600', '0.09316400', '0.40683600', '0.40683600', '0.09316400', '0.90683600', '0.59316400', '0.59851600', '0.90148400', '0.09851600', '0.40148400', '0.40148400', '0.09851600', '0.90148400', '0.59851600']","['0.12997200', '0.62997200', '0.87002800', '0.37002800', '0.01280800', '0.51280800', '0.98719200', '0.48719200', '0.24642500', '0.74642500', '0.75357500', '0.25357500', '0.01733500', '0.51733500', '0.98266500', '0.48266500', '0.98266500', '0.48266500', '0.01733500', '0.51733500', '0.24372000', '0.74372000', '0.75628000', '0.25628000', '0.75628000', '0.25628000', '0.24372000', '0.74372000']"
"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']","['0.51224700', '0.02449500', '0.48775300', '0.51224700', '0.48775300', '0.97550500', '0.00000000', '0.00000000', '0.16631900', '0.33263800', '0.83368100', '0.83368100', '0.66666700', '0.16631900', '0.66736200', '0.33333300']","['0.48775300', '0.51224700', '0.97550500', '0.02449500', '0.51224700', '0.48775300', '0.00000000', '0.00000000', '0.33263800', '0.16631900', '0.66736200', '0.16631900', '0.33333300', '0.83368100', '0.83368100', '0.66666700']","['0.74763200', '0.24763200', '0.24763200', '0.74763200', '0.24763200', '0.74763200', '0.25812200', '0.75812200', '0.99228800', '0.49228800', '0.49228800', '0.49228800', '0.02211800', '0.99228800', '0.99228800', '0.52211800']"
"['Lu', 'Mg']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['La', 'P']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Yb', 'In']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Ni', 'Ni', 'Ni', 'Ni', 'B', 'B']","['0.67017200', '0.32982800', '0.82982800', '0.17017200', '0.75000000', '0.25000000']","['0.17017200', '0.82982800', '0.67017200', '0.32982800', '0.75000000', '0.25000000']","['0.84034400', '0.15965600', '0.50000000', '0.50000000', '0.00000000', '0.00000000']"
"['Zr', 'Zr', 'Ag']","['0.66353200', '0.33646800', '0.00000000']","['0.66353200', '0.33646800', '0.00000000']","['0.00000000', '0.00000000', '0.00000000']"
"['Mg', 'Mg', 'Mg', 'Sb', 'Sb']","['0.00000000', '0.33333300', '0.66666700', '0.33333300', '0.66666700']","['0.00000000', '0.66666700', '0.33333300', '0.66666700', '0.33333300']","['0.00000000', '0.36832500', '0.63167500', '0.77474900', '0.22525100']"
"['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Rh', 'Rh', 'Rh', 'Rh']","['0.63854400', '0.13854400', '0.36145600', '0.86145600', '0.36322900', '0.86322900', '0.63677100', '0.13677100', '0.00052600', '0.50052600', '0.99947400', '0.49947400']","['0.34470200', '0.65529800', '0.65529800', '0.34470200', '0.15071600', '0.84928400', '0.84928400', '0.15071600', '0.27150300', '0.72849700', '0.72849700', '0.27150300']","['0.82464700', '0.67535300', '0.17535300', '0.32464700', '0.62688300', '0.87311700', '0.37311700', '0.12688300', '0.71270500', '0.78729500', '0.28729500', '0.21270500']"
"['Yb', 'Pb']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Ca', 'Ca', 'N']","['0.73192600', '0.26807400', '0.00000000']","['0.73192600', '0.26807400', '0.00000000']","['0.73192600', '0.26807400', '0.00000000']"
"['Y', 'Y', 'Y', 'Y', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","['0.16984100', '0.33015900', '0.83015900', '0.66984100', '0.54496800', '0.36855100', '0.86855100', '0.04496800', '0.13144900', '0.63144900', '0.95503200', '0.45503200', '0.83733700', '0.33733700', '0.16266300', '0.66266300', '0.50000000', '0.00000000']","['0.93777400', '0.43777400', '0.06222600', '0.56222600', '0.13138900', '0.62814900', '0.87185100', '0.36861100', '0.12814900', '0.37185100', '0.63138900', '0.86861100', '0.25105500', '0.24894500', '0.74894500', '0.75105500', '0.00000000', '0.50000000']","['0.19081900', '0.19081900', '0.80918100', '0.80918100', '0.09032700', '0.50479800', '0.49520200', '0.90967300', '0.50479800', '0.49520200', '0.09032700', '0.90967300', '0.24960100', '0.75039900', '0.75039900', '0.24960100', '0.50000000', '0.50000000']"
"['Fe', 'Pd']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Fe', 'Co']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Rb', 'Rb', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['0.75000000', '0.25000000', '0.00000000', '0.50000000', '0.29872400', '0.79872400', '0.56050600', '0.79872400', '0.43949400', '0.43949400', '0.56050600', '0.06050600', '0.70127600', '0.93949400', '0.70127600', '0.93949400', '0.06050600', '0.29872400', '0.29872400', '0.56050600', '0.20127600', '0.20127600', '0.79872400', '0.43949400', '0.20127600', '0.06050600', '0.93949400', '0.70127600']","['0.75000000', '0.25000000', '0.00000000', '0.50000000', '0.93949400', '0.20127600', '0.43949400', '0.43949400', '0.79872400', '0.20127600', '0.79872400', '0.93949400', '0.93949400', '0.70127600', '0.29872400', '0.06050600', '0.29872400', '0.70127600', '0.06050600', '0.20127600', '0.79872400', '0.43949400', '0.56050600', '0.56050600', '0.56050600', '0.70127600', '0.29872400', '0.06050600']","['0.75000000', '0.25000000', '0.00000000', '0.50000000', '0.06050600', '0.56050600', '0.79872400', '0.20127600', '0.56050600', '0.79872400', '0.20127600', '0.70127600', '0.29872400', '0.06050600', '0.06050600', '0.29872400', '0.93949400', '0.93949400', '0.70127600', '0.43949400', '0.43949400', '0.56050600', '0.43949400', '0.20127600', '0.79872400', '0.29872400', '0.70127600', '0.93949400']"
"['Ho', 'Si', 'Si', 'Ni', 'Ni']","['0.00000000', '0.62627900', '0.37372100', '0.25000000', '0.75000000']","['0.00000000', '0.62627900', '0.37372100', '0.75000000', '0.25000000']","['0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000']","['0.00000000', '0.00000000', '0.79428800', '0.20571200', '0.31656800', '0.68343200', '0.31656800', '0.68343200', '0.50000000', '0.50000000', '0.26821700', '0.73178300', '0.79577100', '0.20422900', '0.79577100', '0.20422900', '0.05136200', '0.94863800', '0.05136200', '0.94863800', '0.55787100', '0.44212900', '0.55787100', '0.44212900']","['0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.09314600', '0.90685400', '0.40685400', '0.59314600', '0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.06914500', '0.93085500', '0.43085500', '0.56914500', '0.15595300', '0.84404700', '0.34404700', '0.65595300', '0.16799700', '0.83200300', '0.33200300', '0.66799700']"
"['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","['0.00000000', '0.33333300', '0.66666700', '0.33087600', '0.01307900', '0.65604500', '0.66912400', '0.98692100', '0.34395500', '0.00000000', '0.33333300', '0.66666700', '0.31386000', '0.02619100', '0.65994900', '0.68614000', '0.97380900', '0.34005100']","['0.00000000', '0.66666700', '0.33333300', '0.98692100', '0.34395500', '0.66912400', '0.01307900', '0.65604500', '0.33087600', '0.00000000', '0.66666700', '0.33333300', '0.97380900', '0.34005100', '0.68614000', '0.02619100', '0.65994900', '0.31386000']","['0.00000000', '0.04409600', '0.95590400', '0.34601500', '0.34601500', '0.34601500', '0.65398500', '0.65398500', '0.65398500', '0.50000000', '0.58629100', '0.41370900', '0.85900700', '0.85900700', '0.85900700', '0.14099300', '0.14099300', '0.14099300']"
"['Al', 'Sb']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']"
"['Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.50000000', '0.60234200', '0.00000000', '0.89765800', '0.00000000', '0.39765800', '0.10234200', '0.50000000', '0.55003200', '0.75000000', '0.25000000', '0.44996800', '0.05003200', '0.69996800', '0.30003200', '0.25000000', '0.19996800', '0.75000000', '0.94996800', '0.80003200']","['0.00000000', '0.50000000', '0.60234200', '0.89765800', '0.10234200', '0.39765800', '0.50000000', '0.00000000', '0.75000000', '0.44996800', '0.05003200', '0.69996800', '0.80003200', '0.75000000', '0.55003200', '0.19996800', '0.94996800', '0.30003200', '0.25000000', '0.25000000']","['0.10234200', '0.00000000', '0.50000000', '0.89765800', '0.50000000', '0.39765800', '0.00000000', '0.60234200', '0.30003200', '0.69996800', '0.80003200', '0.75000000', '0.25000000', '0.44996800', '0.75000000', '0.94996800', '0.25000000', '0.55003200', '0.19996800', '0.05003200']"
"['Ge', 'Ge', 'Ge', 'Ge', 'S', 'S', 'S', 'S']","['0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000']","['0.36467200', '0.63532800', '0.86467200', '0.13532800', '0.50214900', '0.49785100', '0.00214900', '0.99785100']","['0.87429300', '0.12570700', '0.62570700', '0.37429300', '0.65275500', '0.34724500', '0.84724500', '0.15275500']"
"['Cr', 'Cr', 'Se', 'Se']","['0.00000000', '0.00000000', '0.33333300', '0.66666700']","['0.00000000', '0.00000000', '0.66666700', '0.33333300']","['0.00000000', '0.50000000', '0.25000000', '0.75000000']"
"['Ba', 'Ba', 'Te', 'Te', 'Te', 'Te']","['0.75000000', '0.25000000', '0.36193000', '0.86193000', '0.63807000', '0.13807000']","['0.75000000', '0.25000000', '0.86193000', '0.63807000', '0.13807000', '0.36193000']","['0.00000000', '0.00000000', '0.22386000', '0.50000000', '0.77614000', '0.50000000']"
"['Eu', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000']","['0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'P', 'P', 'P', 'P', 'P']","['0.63430800', '0.86809400', '0.93211300', '0.06035000', '0.36613800', '0.63386200', '0.93965000', '0.57028900', '0.06788700', '0.13190600', '0.36569200', '0.42971100', '0.00000000', '0.58687200', '0.80543200', '0.19456800', '0.41312800']","['0.57028900', '0.93211300', '0.63430800', '0.63386200', '0.06035000', '0.93965000', '0.36613800', '0.86809400', '0.36569200', '0.06788700', '0.42971100', '0.13190600', '0.00000000', '0.19456800', '0.58687200', '0.41312800', '0.80543200']","['0.70219500', '0.29780500', '0.06401900', '0.69421200', '0.42648800', '0.57351200', '0.30578800', '0.93598100', '0.93598100', '0.70219500', '0.29780500', '0.06401900', '0.00000000', '0.78144000', '0.39230400', '0.60769600', '0.21856000']"
"['Na', 'N', 'O', 'O']","['0.41430100', '0.87623600', '0.80409900', '0.19426400']","['0.41430100', '0.87623600', '0.99918200', '0.99918200']","['0.00000000', '0.00000000', '0.80491700', '0.19508300']"
"['Pu', 'Pu', 'Fe', 'Fe', 'Fe', 'Fe']","['0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']","['0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000']","['0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000']"
"['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['0.68843800', '0.18843800', '0.31156200', '0.81156200', '0.06326900', '0.56326900', '0.93673100', '0.43673100', '0.30532000', '0.80532000', '0.69468000', '0.19468000', '0.62112700', '0.12112700', '0.37887300', '0.87887300', '0.00575500', '0.49424500', '0.99424500', '0.50575500', '0.68994400', '0.18994400', '0.31005600', '0.81005600', '0.92868900', '0.42868900', '0.07131100', '0.57131100', '0.81919300', '0.31919300', '0.18080700', '0.68080700', '0.05661800', '0.44338200', '0.94338200', '0.55661800']","['0.29664100', '0.70335900', '0.70335900', '0.29664100', '0.23144400', '0.76855600', '0.76855600', '0.23144400', '0.18300800', '0.81699200', '0.81699200', '0.18300800', '0.35316700', '0.64683300', '0.64683300', '0.35316700', '0.77329000', '0.77329000', '0.22671000', '0.22671000', '0.55748800', '0.44251200', '0.44251200', '0.55748800', '0.52868500', '0.47131500', '0.47131500', '0.52868500', '0.06920400', '0.93079600', '0.93079600', '0.06920400', '0.97468100', '0.97468100', '0.02531900', '0.02531900']","['0.06615900', '0.43384100', '0.93384100', '0.56615900', '0.45686400', '0.04313600', '0.54313600', '0.95686400', '0.44962300', '0.05037700', '0.55037700', '0.94962300', '0.58550000', '0.91450000', '0.41450000', '0.08550000', '0.05471400', '0.55471400', '0.94528600', '0.44528600', '0.31479200', '0.18520800', '0.68520800', '0.81479200', '0.27930700', '0.22069300', '0.72069300', '0.77930700', '0.29890300', '0.20109700', '0.70109700', '0.79890300', '0.21102300', '0.71102300', '0.78897700', '0.28897700']"
"['Ce', 'Ce', 'Pt', 'Pt', 'Pt', 'Pt']","['0.75000000', '0.50000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000']","['0.75000000', '0.50000000', '0.62500000', '0.12500000', '0.12500000', '0.12500000']","['0.75000000', '0.50000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000']"
