atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
"Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'","0.00000000', '0.50000000', '0.84198800', '0.34198800', '0.15801200', '0.65801200', '0.49980900', '0.99980900', '0.50019100', '0.00019100', '0.64556500', '0.14556500', '0.35443500', '0.85443500', '0.43990100', '0.93990100', '0.56009900', '0.06009900', '0.81407900', '0.31407900', '0.18592100', '0.68592100', '0.91948000', '0.41948000', '0.08052000', '0.58052000', '0.77952600', '0.27952600', '0.22047400', '0.72047400', '0.78059600', '0.28059600', '0.21940400', '0.71940400'","0.00000000', '0.00000000', '0.80311000', '0.19689000', '0.19689000', '0.80311000', '0.71275400', '0.28724600', '0.28724600', '0.71275400', '0.96259400', '0.03740600', '0.03740600', '0.96259400', '0.60886400', '0.39113600', '0.39113600', '0.60886400', '0.35214100', '0.64785900', '0.64785900', '0.35214100', '0.68458300', '0.31541700', '0.31541700', '0.68458300', '0.74690000', '0.25310000', '0.25310000', '0.74690000', '0.34823300', '0.65176700', '0.65176700', '0.34823300'","0.00000000', '0.50000000', '0.38350700', '0.11649300', '0.61649300', '0.88350700', '0.18563100', '0.31436900', '0.81436900', '0.68563100', '0.14321100', '0.35678900', '0.85678900', '0.64321100', '0.82163900', '0.67836100', '0.17836100', '0.32163900', '0.96907600', '0.53092400', '0.03092400', '0.46907600', '0.87252200', '0.62747800', '0.12747800', '0.37252200', '0.13395700', '0.36604300', '0.86604300', '0.63395700', '0.77633100', '0.72366900', '0.22366900', '0.27633100'","[...,.75 00 05 00 [..]00 075 05"
"La', 'La', 'La', 'La', 'La', 'La', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'","0.87500000', '0.37500000', '0.12500000', '0.75000000', '0.25000000', '0.62500000', '0.65088000', '0.50000000', '0.00000000', '0.34912000', '0.00000000', '0.84912000', '0.15088000', '0.50000000'","0.12500000', '0.25000000', '0.75000000', '0.87500000', '0.62500000', '0.37500000', '0.65088000', '0.00000000', '0.34912000', '0.50000000', '0.84912000', '0.50000000', '0.15088000', '0.00000000'","0.75000000', '0.62500000', '0.87500000', '0.12500000', '0.37500000', '0.25000000', '0.65088000', '0.34912000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.15088000', '0.84912000'","[.75 00 025 075 025 [.,.]05 05 075"
"Ni', 'Ni', 'S', 'S'","0.00000000', '0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.00000000', '0.33333300', '0.66666700'","0.50000000', '0.00000000', '0.75000000', '0.25000000'","[.75 05 025 075 025 [.,.]05 075"
"Ce', 'Ce'","0.89903700', '0.10096300'","0.10096300', '0.89903700'","0.75000000', '0.25000000'","[.,.75 05 025 075 025 [.25 00 075"
"Tb', 'Zn'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.,5 075 [.25 025"
"La', 'La', 'La', 'La', 'La', 'La', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'","0.32632500', '0.32632500', '0.00000000', '0.00000000', '0.67367500', '0.67367500', '0.66666700', '0.33333300', '0.66666700', '0.33333300', '0.00000000', '0.00000000', '0.27735000', '0.27735000', '0.00000000', '0.00000000', '0.72265000', '0.72265000', '0.37952000', '0.37952000', '0.00000000', '0.00000000', '0.62048000', '0.62048000'","0.00000000', '0.32632500', '0.67367500', '0.32632500', '0.67367500', '0.00000000', '0.33333300', '0.66666700', '0.33333300', '0.66666700', '0.00000000', '0.00000000', '0.00000000', '0.27735000', '0.72265000', '0.27735000', '0.72265000', '0.00000000', '0.00000000', '0.37952000', '0.62048000', '0.37952000', '0.62048000', '0.00000000'","0.75095500', '0.25095500', '0.25095500', '0.75095500', '0.75095500', '0.25095500', '0.20895100', '0.70895100', '0.70895100', '0.20895100', '0.82074300', '0.32074300', '0.08196900', '0.58196900', '0.58196900', '0.08196900', '0.08196900', '0.58196900', '0.42232800', '0.92232800', '0.92232800', '0.42232800', '0.42232800', '0.92232800'","[...,.75 00 05 00 [..]00 075 05 [.].. "
"Hf', 'Hf', 'Cr', 'Cr', 'Cr', 'Cr'","0.50000000', '0.75000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000'","0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000'","0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.12500000', '0.62500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Ga', 'Ga', 'Ga', 'Ga', 'S', 'S', 'S', 'S', 'S', 'S'","0.13777100', '0.26820400', '0.44546700', '0.64150100', '0.42665700', '0.25376000', '0.76013700', '0.58414700', '0.91153500', '0.09282000'","0.26820400', '0.13777100', '0.64150100', '0.44546700', '0.25376000', '0.42665700', '0.58414700', '0.76013700', '0.09282000', '0.91153500'","0.38076600', '0.88076600', '0.37037600', '0.87037600', '0.49702500', '0.99702500', '0.48679700', '0.98679700', '0.01603600', '0.51603600'","[.75 00 025 075 025 [.,.75 [.]05 05 075"
"Co', 'Co', 'Te', 'Te'","0.00000000', '0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.25000000', '0.75000000'","[.75 05 025 075 025 [.,.]05 075"
"Ti', 'Ti', 'S', 'S'","0.33333300', '0.66666700', '0.00000000', '0.00000000'","0.66666700', '0.33333300', '0.00000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75"
"Dy', 'Rh'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Al', 'Pt', 'Pt', 'Pt'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
Ag',0.00000000',0.00000000',0.00000000',"[.,.75 05 025 075 025 [.25 00 075"
